OSTbeta,STATH,MAPK10,PLEKHG5,ERO1L,ZNF711,ZNF385,OR52E8,SLC5A11,P4HA3,LHFPL4,MGC33657,CAPZB,RBM15B,C1orf176,KLF3,OLFM4,NBR2,CCDC64,NUP210,HEMGN,SLC25A3,LEF1,MVD,OTUD3,KIAA1949,SLC44A3,ZNF775,THY1,DYNC1I2,CYP1A1,SPTA1,CLEC4M,RXFP3,TSHR,C7,CRYBB2,PPAPDC3,TXNL4B,CHST9,HACE1,AYTL1,PRSS35,ZNF408,DDC,CSTL1,OR2F1,C12orf50,SH3YL1,SNUPN,COL25A1,HPS4,ZFPM1,OAS2,TUBA1C,OR8K5,THSD3,ATP6V0C,RAB22A,AP1B1,CTAGE6,C6orf26,ESR1,UPK3B,ROBO4,TMEFF1,KIAA1279,ZFP36L1,GRINA,YTHDF3,TMCC1,UBE1DC1,C6orf15,PDE6A,PEO1,TMEM52,PARP1,GSS,RDH11,STXBP1,ACLY,TMSB10,TUBB,LIPK,HRC,C20orf111,OMA1,NCAPH2,GPX2,BPY2C,ZNF324,CDC27,CCNB2,CNOT7,BIRC3,GAL3ST3,PLEKHM1,SPOCD1,PENK,TAS2R9,BRCA_Subtype_PAM50
-2.4875,0.56175,-0.613,-0.6415,-1.1861,-2.6305,0.086,0.5005,-1.3495,3.190125,-2.97325,0.2995,-1.15825,-0.03575,-0.5670000000000001,-0.558875,4.8751666666666695,-0.4348333333333329,0.0635,-0.145,-5.53833333333333,0.08975,-0.8691,-1.68325,0.65925,-0.593,0.150833333333333,0.45325,0.8516,0.685125,-1.27275,-5.23725,0.122833333333333,0.4445,-1.609,1.837125,-0.065,-0.34925,-1.5068,-1.51466666666667,-0.9585,-1.14766666666667,-0.31625,-0.0278333333333333,-5.4415,0.2385,0.4855,0.017,0.483125,0.403,-1.4153,-0.6136,1.598875,1.5455833333333302,-0.7005,0.1285,-3.03225,1.741875,0.899916666666667,-0.0361666666666667,0.2535,-2.376,3.84525,-0.069,3.8465,-3.1265,1.39775,0.8957,1.9855,-0.66775,0.98775,-1.422,-0.0811666666666667,-0.55225,-0.830666666666667,-1.30683333333333,-0.69575,-0.15475,-0.814333333333333,-1.8761,-0.620875,0.0355,-0.7399375,0.173,-1.87825,0.1075,0.006,-0.5760000000000001,-2.93425,-0.1825,0.502,-1.097,-1.00977777777778,0.17371428571428602,-2.2466666666666697,-0.3795,0.20633333333333306,-0.515666666666667,-2.08933333333333,0.265,3
-3.77225,-1.00575,-0.7935,0.0775,-2.4778,0.770875,0.097,-0.2575,-1.72925,0.754,-2.86475,0.74025,0.3985,0.629,1.54225,-0.049,0.928,-1.5183333333333302,-0.274,1.55716666666667,-6.40283333333333,-0.300625,-2.0607,-1.4605,0.698125,0.4765,1.9981666666666695,0.250125,-0.7851,0.07075,-1.67325,-4.91025,0.5226666666666671,0.6805,-0.6275,0.764125,-0.49,-1.21125,0.2845,-1.08316666666667,-0.119333333333333,0.3315,-1.3175,-0.138666666666667,-2.07175,-0.362,-0.01375,-0.0701666666666667,2.444125,0.4809,-1.1547,-0.2283,0.6575,2.2354166666666697,-0.912,1.038,-3.1785,-0.01175,0.4633333333333329,-0.117166666666667,0.007499999999999991,-1.8425,-3.24466666666667,-0.16966666666666694,3.0605,-0.09275,-0.017,0.276,1.0135,0.2755,-0.27883333333333304,-1.937,0.0896666666666667,0.0472499999999999,-0.16699999999999998,-0.161333333333333,0.6495,-0.36525,-1.4216666666666695,-1.3362,-0.99675,0.0494285714285714,0.0798125,0.8295,-2.6165,-0.127333333333333,-0.892,0.0146666666666667,-4.066,0.5415,0.527,-1.7625,-0.706333333333333,-0.1135,0.4656666666666671,-0.1385,0.0595,-1.0035,-1.15266666666667,0.7975,0
-1.47025,0.64,0.3915,0.28675,-2.1565,-0.42925,-0.0395,0.3305,-1.732,2.60875,-2.46325,0.754,0.35425,-0.8859999999999999,0.8270000000000001,-0.8365,2.29483333333333,1.13716666666667,0.236,-0.898333333333333,-4.43283333333333,-0.486875,-2.1379,-1.11875,2.462875,-0.44825,1.5163333333333302,-0.043,0.4177,1.09825,-1.1075,-5.0865,-0.0818333333333334,0.8385,0.1285,0.118,1.3615,-0.88575,1.4342,-2.9516666666666698,-0.3885,-1.493,-0.64525,0.807166666666667,0.1645,-0.363,0.2645,0.24616666666666695,0.33575,0.0524,-1.1822,-0.8327,0.642375,0.6909166666666671,-1.07971428571429,0.4395,-2.4235,0.79975,0.5288333333333329,-0.26683333333333303,-1.098,-2.10883333333333,-4.21433333333333,-0.0418333333333333,3.37533333333333,-0.6235,0.5105,0.2442,-0.53,-0.26075,-0.21916666666666695,-0.0365,3.73766666666667,1.55275,0.5315,0.734833333333333,0.917,0.78025,-0.7895,-0.9722,-0.407625,1.51485714285714,-0.471625,-0.423,-1.65,0.193666666666667,0.6409999999999999,-0.105166666666667,-3.027375,0.7925,0.303,-0.6065,-1.77722222222222,2.4607857142857097,-1.41433333333333,0.141,-0.00966666666666668,-0.594833333333333,-0.667333333333333,0.556,0
-2.05675,0.716,0.7509999999999999,-0.109,-1.6586,-1.783625,0.979,0.3595,-1.843,3.77875,-3.57925,0.204,0.406,0.611,0.4175,0.396875,-0.7796666666666671,-0.18616666666666695,-0.389,-0.4896666666666671,-6.08016666666667,-0.196125,-2.1132,-2.162,0.377125,0.35325,1.37633333333333,0.0595000000000001,0.5859,1.172,-1.84425,-5.9635,0.8785,0.4195,-1.4885,2.518625,-1.6345,0.62675,-1.4597,-3.62516666666667,-0.0338333333333333,-2.11333333333333,-0.4605,0.0558333333333333,-6.199,0.05775,1.12075,-0.2526,1.5085,-0.4708,-1.6041,-1.2164,0.47425,1.722,-1.2483571428571398,0.939,-2.632,0.999,0.519,-1.06416666666667,0.4435,-1.9935,4.07166666666667,-0.19633333333333305,3.8735,-1.89175,1.0485,0.8535,1.334,-0.71125,0.4241666666666671,-1.4265,-0.00533333333333336,-0.32025,-0.4851666666666671,-0.727166666666667,-1.10475,-0.8675,-0.23133333333333306,-1.4504,-0.362375,0.132785714285714,-0.338625,0.4015,-2.14525,-0.00816666666666664,0.2065,-1.284,-3.586625,0.5015,0.5329999999999999,-1.4375,-2.10544444444444,-0.283785714285714,-1.77066666666667,0.3145,0.0736666666666667,-0.770166666666667,1.7816666666666698,0.61,2
-1.4625,0.41825,-0.056,0.61425,0.9018,-2.695625,1.4240000000000002,0.6715,3.7885,3.997625,-2.75,0.97775,0.51975,0.375,0.04375,0.96575,3.29083333333333,-1.06266666666667,0.3385,-1.6795,-5.0573333333333315,0.063375,-1.1669,-0.8675,-1.02625,-0.3805,2.6496666666666697,-0.663375,1.3637,1.03325,-1.04875,-5.04525,0.18633333333333305,0.126,-0.361,0.870375,0.0115,0.46725,-0.3273,-3.0125,-0.5261666666666671,0.145166666666667,-0.2255,0.578833333333333,-4.092,-0.093,0.41875,-0.0168333333333333,1.1335,-1.4853,-1.2461,-0.733,-0.350875,0.8491666666666671,-0.5056428571428571,0.0975,-2.8295,1.022125,0.5280833333333329,0.922333333333333,0.6675,-3.5610000000000004,-1.4625833333333302,-0.00916666666666666,3.282,-1.828,0.5935,1.5083,0.6965,0.578,0.39225,-0.5055,-0.0728333333333333,-0.3385,-1.5935,-0.3505,-0.35725,-0.26525,-0.02,-1.106,-0.3425,2.41042857142857,-0.84425,-0.9565,-1.3765,-0.0551666666666667,0.2085,-0.734833333333333,-1.808875,-0.3455,0.225,-0.7825,-2.11688888888889,-0.3717857142857139,-1.46933333333333,-0.033,-0.106333333333333,0.448,-0.79,-0.0455,1
-2.52925,0.92325,0.2185,0.16,-1.0952,-3.48028571428571,1.16983333333333,0.8495,-0.69325,2.105625,-2.22,-0.2905,0.3135,0.619,0.87825,0.607625,0.4323333333333329,-1.48733333333333,0.3685,-1.0585,-5.39366666666667,-0.246875,-1.919,-0.70875,0.2025,0.32975,3.37466666666667,-0.170125,0.8442,0.426,-1.331,-4.44375,0.999333333333333,0.6659999999999999,0.14825,0.578375,0.0385,-0.33975,-0.4286,-2.80483333333333,-1.21533333333333,-1.7495,-0.3035,0.3815,-5.8765,-0.408,0.217,-0.17466666666666694,1.528,-0.2023,-1.1763,-0.1013,1.268625,3.76758333333333,-1.20178571428571,0.6075,-2.49675,0.1575,0.43858333333333294,0.8413333333333329,0.9585,-1.06033333333333,0.917333333333333,0.0795,3.856,-3.21325,0.06075,0.7749,0.454,-0.119,0.69925,-0.8865,0.0168333333333333,-0.80975,-1.26733333333333,0.0401666666666667,-0.3275,0.28525,-0.28466666666666696,-1.9277,-0.88425,0.161571428571429,0.0174375,-0.1515,-1.2195,0.3755,0.6515,-0.1055,-0.64075,-0.0595,0.42925,-1.241,-1.70055555555556,-0.8230714285714291,0.827666666666667,-0.713,0.257333333333333,-0.7775,-0.731833333333333,0.4905,1
-1.827,0.583666666666667,0.191,2.15975,-1.9683,-1.528,1.57116666666667,0.7759999999999999,-0.95025,1.919875,-2.9446666666666697,0.2865,0.1695,0.31675,0.4145,-0.316125,4.04066666666667,-0.2405,0.4385,-0.2435,-5.62883333333333,-0.269125,-2.346,-0.932,0.8165,0.37375,-0.28333333333333305,-0.16175,0.2352,0.02025,-1.422,-4.244,0.971,0.7455,-0.63025,1.5055,-1.179,-0.62425,-1.1458,-2.448,-0.4051666666666671,-0.621333333333333,-0.80275,-0.116666666666667,-5.91533333333333,1.14925,0.018000000000000002,0.00583333333333334,0.8855,-0.00680000000000003,-1.0734,-1.1179,0.957875,3.26941666666667,-1.3692857142857098,-0.4320000000000001,-2.22225,1.217,2.9414166666666697,0.105,0.455,-1.6428333333333305,3.0126666666666697,0.3558333333333329,3.67383333333333,-3.6175,0.289,0.5227,1.399,-0.1385,0.2235,-1.0155,-0.1995,0.7515,-0.8240000000000001,1.5928333333333302,-2.0465,0.09725,-0.4565,-1.0378,0.126875,0.9275,-0.71675,-0.2805,-1.5205,-0.681166666666667,0.484,-1.41616666666667,-3.26,0.8475,0.4675,-0.404,-1.76855555555556,-0.732142857142857,-0.9935,-0.203,0.748333333333333,2.03616666666667,-0.6915,0.1815,3
-2.465,0.321,-0.5165,0.184,-0.5501,0.6255,-0.0611666666666667,0.35100000000000003,-1.72675,3.1575,-3.248,-0.14225,0.52625,0.1425,0.684,0.472,0.887166666666667,-1.05016666666667,-0.0115,-0.863,-5.89666666666667,-0.71525,-2.1832,-1.12625,0.2615,1.548,1.24516666666667,-0.4595,0.381,0.210375,-1.05825,-4.47775,0.4066666666666671,0.452,-1.097,0.66175,-0.8325,-0.67275,0.2034,-2.86566666666667,-0.286333333333333,0.7435,-1.03025,0.2085,-2.58325,-0.212,0.24275,-0.137833333333333,1.004625,0.3538,-1.253,-1.0163,0.581,3.1875833333333303,-0.0383571428571428,0.63,-2.8695,0.547625,0.4528333333333329,-0.1605,-0.2395,-1.8315,-1.44283333333333,-0.233,3.587,-1.173,0.63075,0.6832,0.35200000000000004,0.8865,0.4860833333333329,-0.311,4.23283333333333,-0.67025,0.788666666666667,0.2205,-0.3825,-1.02025,-1.24566666666667,-2.3845,-0.232125,1.421,-0.0984375,0.168,-2.188,0.713666666666667,0.009000000000000001,-0.3606666666666671,-3.633875,0.0195,-0.36475,-1.8715,-0.2895555555555561,0.752142857142857,1.0495,-0.11,0.512,-0.562666666666667,0.853833333333333,0.3315,0
-1.52975,0.25775,1.526,1.04875,-1.7836,-1.223375,0.3853333333333329,0.4665,-1.0475,4.314375,-3.30925,-0.14375,0.31525,0.35275,0.2745,0.3235,4.66533333333333,-0.452,-0.8975,-1.38216666666667,-5.64816666666667,-0.368875,-1.4513,-2.23,1.217875,-0.12875,1.2605,-0.59175,1.0785,0.761875,-2.11475,-4.79175,-0.0363333333333333,0.181,-0.0133333333333333,4.11325,-1.345,0.665,-1.6715,-0.5001666666666671,-0.8005,-0.3495,0.938,-0.4508333333333329,-3.80125,-0.11325,0.1195,0.2648,0.981625,-0.2908,-1.1768,-1.0048,-0.2315,0.986833333333333,-1.24742857142857,-0.0835,-3.14475,0.412625,0.0945833333333333,-0.934833333333333,-0.1675,-2.9315,2.8541666666666696,-0.0176666666666666,3.8356666666666697,-2.00775,0.655,1.8891,0.7445,0.1925,0.202,-0.711,2.29633333333333,0.36025,-0.735833333333333,-0.59,-1.44425,-0.22775,0.0481666666666667,-1.6968,-0.27975,0.934357142857143,-1.25575,0.481,-1.54275,-0.2855,0.38,-1.541,-2.814125,-0.0365,0.70025,-0.7455,-3.86666666666667,-0.123071428571429,-0.552166666666667,0.5165,0.156833333333333,0.753,1.05966666666667,0.8335,2
-2.27,0.33225,-1.218,0.78425,-1.7006,-3.2355,0.959833333333333,0.3635,-0.9315,2.0205,-2.95475,2.199,0.156,0.16,0.6885,0.332875,1.29466666666667,0.17633333333333304,-0.1895,-0.0978333333333333,-5.6345,-0.62725,-1.8934,-1.93475,0.909625,-0.32225,1.4369999999999998,0.0656249999999999,0.0302,0.7829999999999999,-1.997,-5.737,0.3903333333333329,0.8015,-0.52875,1.195,0.099,-1.0025,-1.9277,-0.700666666666667,-1.778,-0.5861666666666671,-1.673,-0.0515,-6.24675,0.21475,0.4096666666666671,0.3934,1.460375,0.3165,-1.4058,-0.3623,1.24825,1.97883333333333,-1.3569285714285702,-0.1165,-2.9345,0.58725,0.15333333333333302,0.652,0.4835,-1.8971666666666696,4.35833333333333,0.0896666666666667,3.50133333333333,-3.51175,0.32975,1.8829,0.7,-0.64525,0.0219166666666667,-1.0715,0.120833333333333,-0.27625,-0.9605,-0.3831666666666671,0.28800000000000003,0.2435,0.0998333333333333,-1.4006,-0.53825,-0.4076428571428571,-1.3019999999999998,0.952,-1.449,-0.5715,1.006,-0.6805,-3.37425,-0.132,0.55325,-1.38,-2.6058888888888903,0.0599285714285714,-0.144666666666667,0.106,0.179833333333333,-1.05816666666667,-0.38,-0.1235,2
